feature,feature_importance,abs_coef
total_events,0.1597795740400682,0.1597795740400682
Scheduling.Shift.Created,0.14251575366526592,0.14251575366526592
Mobile.Schedule.Loaded,0.09885692975064114,0.09885692975064114
active_days,0.0763883753614267,0.0763883753614267
Scheduling.Shift.AssignmentChanged,0.07020007873256122,0.07020007873256122
unique_activities,0.055997058874854254,0.055997058874854254
Scheduling.Shift.Approved,0.04623061313849759,0.04623061313849759
Communication.Message.Created,0.04366549356359591,0.04366549356359591
PunchClock.PunchedIn,0.04349488154201497,0.04349488154201497
Scheduling.Template.ApplyModal.Applied,0.033775199464306814,0.033775199464306814
did__Communication.Message.Created,0.020661244654118324,0.020661244654118324
did__Scheduling.Shift.AssignmentChanged,0.015963859325971337,0.015963859325971337
did__Scheduling.Shift.Approved,0.014900169351708592,0.014900169351708592
did__Mobile.Schedule.Loaded,0.013913254987510178,0.013913254987510178
did__PunchClock.PunchedIn,0.0138441688473595,0.0138441688473595
Scheduling.OpenShiftRequest.Created,0.013487462008280311,0.013487462008280311
Scheduling.Availability.Set,0.012924275008922962,0.012924275008922962
did__Scheduling.Template.ApplyModal.Applied,0.012439206487154126,0.012439206487154126
did__Scheduling.OpenShiftRequest.Created,0.011630535961547802,0.011630535961547802
PunchClockEndNote.Add.Completed,0.009692135933167846,0.009692135933167846
Absence.Request.Approved,0.009225780270142142,0.009225780270142142
Absence.Request.Created,0.009108708786770479,0.009108708786770479
ShiftDetails.View.Opened,0.008556281278241915,0.008556281278241915
did__Scheduling.Shift.Created,0.008120649687817913,0.008120649687817913
did__Scheduling.Availability.Set,0.0062725331776448045,0.0062725331776448045
did__Absence.Request.Created,0.006069298025861494,0.006069298025861494
Absence.Request.Rejected,0.00492067112438207,0.00492067112438207
did__Absence.Request.Approved,0.004483764789461711,0.004483764789461711
did__Absence.Request.Rejected,0.003959509044735003,0.003959509044735003
did__ShiftDetails.View.Opened,0.0034803750862001785,0.0034803750862001785
PunchClockStartNote.Add.Completed,0.00311583540266589,0.00311583540266589
did__PunchClockEndNote.Add.Completed,0.00288602546762706,0.00288602546762706
did__Scheduling.ShiftHandover.Accepted,0.0022618473260038047,0.0022618473260038047
Scheduling.ShiftHandover.Accepted,0.002208557372581142,0.002208557372581142
did__PunchClockStartNote.Add.Completed,0.0017810719284141025,0.0017810719284141025
PunchClock.Entry.Edited,0.0014900685406257113,0.0014900685406257113
Scheduling.ShiftHandover.Created,0.0014256206275990472,0.0014256206275990472
Timesheets.BulkApprove.Confirmed,0.0013623899678911503,0.0013623899678911503
did__Timesheets.BulkApprove.Confirmed,0.001308504246444911,0.001308504246444911
did__PunchClock.Entry.Edited,0.0011436621159290616,0.0011436621159290616
did__Scheduling.ShiftHandover.Created,0.0010882683139434863,0.0010882683139434863
Scheduling.ShiftSwap.Accepted,0.0009519955239555171,0.0009519955239555171
Scheduling.ShiftSwap.Created,0.0008968774647349155,0.0008968774647349155
PunchClock.PunchedOut,0.0007308111335020089,0.0007308111335020089
did__PunchClock.PunchedOut,0.0006765393643316847,0.0006765393643316847
did__Scheduling.ShiftSwap.Accepted,0.0006305534833605433,0.0006305534833605433
did__Scheduling.ShiftSwap.Created,0.0006289698602282322,0.0006289698602282322
did__Revenue.Budgets.Created,0.00032668883833585874,0.00032668883833585874
Revenue.Budgets.Created,0.0001828623630046565,0.0001828623630046565
Integration.Xero.PayrollExport.Synced,0.00015570159370291686,0.00015570159370291686
did__Scheduling.OpenShiftRequest.Approved,0.00011472073402479364,0.00011472073402479364
did__Break.Activate.Finished,3.488511122630545e-05,3.488511122630545e-05
did__Integration.Xero.PayrollExport.Synced,3.1156467650167564e-05,3.1156467650167564e-05
Break.Activate.Finished,8.544781985727179e-06,8.544781985727179e-06
Break.Activate.Started,0.0,0.0
Scheduling.OpenShiftRequest.Approved,0.0,0.0
Shift.View.Opened,0.0,0.0
did__Break.Activate.Started,0.0,0.0
did__Shift.View.Opened,0.0,0.0
