trial_day,active
0,0.9130434782608695
1,0.16770186335403728
2,0.11697722567287784
3,0.10662525879917184
4,0.11283643892339544
5,0.12318840579710146
6,0.11697722567287784
7,0.11387163561076605
8,0.11801242236024845
9,0.10144927536231885
10,0.10869565217391304
11,0.09627329192546584
12,0.10973084886128365
13,0.11387163561076605
14,0.10662525879917184
15,0.11283643892339544
16,0.09730848861283643
17,0.10766045548654245
18,0.10248447204968944
19,0.10766045548654245
20,0.11387163561076605
21,0.11594202898550725
22,0.11490683229813664
23,0.11594202898550725
24,0.10766045548654245
25,0.10766045548654245
26,0.11594202898550725
27,0.12215320910973085
28,0.11697722567287784
29,0.11283643892339544
